RUB,643,Russia Ruble,российский рубль,руб
SAR,682,Saudi Arabia Riyal,саудовский риял,﷼
SBD,090,Solomon Islands Dollar,доллар соломоновых островов,$
SCR,690,Seychelles Rupee,сейшельская рупия,₨
SDG,702,Sudanese pound,суданский фунт,
SEK,752,Sweden Krona,шведская крона,kr
SGD,702,Singapore Dollar,сингапурский доллар,$
SHP,654,Saint Helena Pound,фунт острова Святой Елены,£
SLL,694,Sierra Leonean leone,сьерра-леонский леоне,
SOS,706,Somalia Shilling,сомалийский шиллинг,S
SRD,968,Suriname Dollar,суринамский доллар,$
SYP,760,Syria Pound,сирийский фунт,£
SZL,748,Swazi lilangeni,свазилендский лилангени,
THB,764,Thailand Baht,таиландский бат,฿
TJS,972,Tajikistani somoni,таджикский сомони,
TMT,934,Turkmenistani manat,новый туркменский манат,
TND,788,Tunisian dinar,тунисский динар,
TRY,949,Turkish Lira,турецкая лира,
TTD,780,Trinidad and Tobago Dollar,доллар Тринидада и Тобаго,TT$
TWD,901,Taiwan New Dollar,новый тайваньский доллар,NT$
TZS,834,Tanzanian shilling,танзанийский шиллинг,
UAH,980,Ukraine Hryvnia,украинская гривна,₴
UGX,800,Ugandan shilling,угандийский шиллинг,
USD,840,United States Dollar,доллар США,$
UYU,858,Uruguay Peso,уругвайское песо,$U
UZS,860,Uzbekistan Som,узбекский сум,лв
VEF,937,Venezuela Bolivar,венесуэльский боливар фуэрте,Bs
VND,704,Viet Nam Dong,вьетнамский донг,₫
XAF,950,CFA franc BEAC,франк КФА ЦАВЭС,
XCD,951,East Caribbean Dollar,восточно-карибский доллар,$
XDR,,,специальные права заимствования,
XOF,952,CFA franc BCEAO,франк КФА ЗАЭВС,
YER,886,Yemen Rial,йеменский риал,﷼
ZAR,710,South Africa Rand,южноафриканский рэнд,R
ZMK,894,Zambian kwacha,замбийская квача,
ZWL,,Zimbabwe Dollar,зимбабвийский доллар,Z$
